DATA,ABERTURA,MAXIMA,MINIMA,FECHAMENTO,BINARIO
2020-02-03 18:30:00,1.10618,1.10623,1.10618,1.10614,1.0
2020-02-03 18:35:00,1.10615,1.10618,1.10613,1.10617,1.0
2020-02-03 18:40:00,1.10618,1.10628,1.10618,1.10628,0.0
2020-02-03 18:45:00,1.10628,1.10628,1.10622,1.10622,1.0
2020-02-03 18:50:00,1.10623,1.10625,1.10622,1.10623,0.0
2020-02-03 18:56:00,1.10623,1.10623,1.10622,1.10622,1.0
2020-02-03 19:01:00,1.10622,1.10629,1.10622,1.10624,0.0
2020-02-03 19:06:00,1.10624,1.10624,1.10614,1.10614,1.0
2020-02-03 19:11:00,1.10613,1.1062,1.10613,1.10616,0.0
2020-02-03 19:16:00,1.10616,1.10618,1.10614,1.10614,0.0
2020-02-03 19:22:00,1.10613,1.10613,1.106,1.10607,0.0
2020-02-03 19:27:00,1.10607,1.10609,1.10604,1.10606,1.0
2020-02-03 19:32:00,1.10606,1.10613,1.10604,1.10613,0.0
2020-02-03 19:37:00,1.10613,1.10613,1.10608,1.10612,0.0
2020-02-03 19:42:00,1.10613,1.10613,1.10607,1.10608,0.0
2020-02-03 19:47:00,1.10607,1.10607,1.10602,1.10604,1.0
2020-02-03 19:52:00,1.10604,1.10604,1.10593,1.10605,1.0
2020-02-03 19:57:00,1.10604,1.10612,1.10602,1.10612,0.5
2020-02-03 20:02:00,1.10612,1.1062,1.10612,1.10612,0.0
2020-02-03 20:07:00,1.10613,1.10617,1.10606,1.10607,0.5
2020-02-03 20:12:00,1.10607,1.10608,1.10602,1.10607,0.5
2020-02-03 20:17:00,1.10606,1.10607,1.10606,1.10607,0.0
2020-02-03 20:22:00,1.10608,1.10608,1.10595,1.10596,1.0
2020-02-03 20:27:00,1.10597,1.10608,1.10597,1.10607,0.0
2020-02-03 20:32:00,1.10607,1.10607,1.10602,1.10602,1.0
2020-02-03 20:37:00,1.10601,1.10617,1.10601,1.10608,1.0
2020-02-03 20:42:00,1.10608,1.10627,1.10608,1.10627,1.0
2020-02-03 20:47:00,1.10627,1.1064,1.10622,1.10631,0.0
2020-02-03 20:52:00,1.10632,1.10632,1.10616,1.10611,0.0
2020-02-03 20:57:00,1.10612,1.10615,1.106,1.10595,0.0
2020-02-03 21:02:00,1.10596,1.10596,1.10571,1.10581,0.0
2020-02-03 21:07:00,1.10581,1.10581,1.10572,1.10572,0.0
2020-02-03 21:12:00,1.10571,1.10572,1.10565,1.10571,1.0
2020-02-03 21:17:00,1.10572,1.10573,1.10567,1.10572,0.5
2020-02-03 21:22:00,1.10573,1.10573,1.10566,1.10572,0.5
2020-02-03 21:27:00,1.10571,1.10571,1.10561,1.10572,0.0
2020-02-03 21:32:00,1.10573,1.10573,1.10562,1.10565,0.0
2020-02-03 21:37:00,1.10565,1.10571,1.10556,1.10562,1.0
